name_en,name_fr,country,iso3,mean_energy_price,mean_GDP_per_capita,mean_HICP_inflation,mean_NRJ_dependency,mean_NRJ_productivity,mean_POLL_death,mean_GREEN_Bound,mean_GREEN_COP21,mean_GREEN_Losses,mean_GREEN_employment,mean_GREEN_enviro_protection,mean_GREEN_gross_value,mean_GREEN_investments,mean_GREEN_tax,mean_FDI_impact,mean_GOV_GDP,mean_GOV_bound,mean_GOV_deficit,mean_share_renew_energy,mean_CO2_emissions
Croatia,Croatie,HR,HRV,0.17521666666666666,2.9458333333333333,2.591666666666667,47.64361764705881,7.673333333333333,114.94117647058823,0.0,0.4700000000000001,22.51068181818182,2319895.0,0.5625,1.6444444444444446,375.63736842105254,3.6827586206896554,-6.5374747474747466,83.3896551724138,3.284166666666667,-2.5416666666666665,26.50435000000001,79.37272727272725
Romania,Roumanie,RO,ROU,0.28768333333333335,4.429166666666666,3.8416666666666663,26.22705882352941,8.495833333333334,126.11764705882354,0.7,52.97,21.24477272727273,19107921.0,0.5588235294117647,2.802,2227.8521052631577,2.2948275862068965,12.117424242424242,90.23793103448278,6.394166666666666,-4.091666666666667,22.4469,49.530303030303024
Latvia,Lettonie,LV,LVA,0.28906666666666664,4.579166666666667,3.3416666666666663,58.67361764705884,6.618750000000001,73.41176470588235,10.5,0.82,13.584318181818183,1640729.0,0.4,2.8377777777777777,458.71578947368425,2.701034482758621,6.196839826839827,88.14827586206897,3.2733333333333334,-2.2083333333333335,36.548649999999995,43.64242424242425
Austria,Autriche,AT,AUT,0.19846666666666668,0.9166666666666666,2.8833333333333333,66.28935294117647,8.568333333333333,58.470588235294116,8.3,2641.17,40.22363636363636,19383640.0,0.325,4.484,3213.635789473684,2.444827586206897,6.484690612417885,89.14482758620689,2.8550000000000004,-2.3333333333333335,31.832850000000008,105.0060606060606
Lithuania,Lituanie,LT,LTU,0.24733333333333332,4.891666666666667,3.666666666666666,63.14314705882354,6.910416666666667,76.23529411764706,0.0,18.99,16.253863636363636,3705280.0,0.6916666666666668,2.4153846153846152,666.5110526315789,2.0724137931034488,0.8943073593073592,89.5,2.8799999999999994,-1.3083333333333331,22.81555,39.81212121212122
Spain,Espagne,ES,ESP,0.25279999999999997,1.012,1.8499999999999999,73.34785294117648,8.36125,44.05882352941177,7.6,6967.47,52.18113636363637,31114862.0,0.24615384615384617,2.469,4896.697894736842,1.8606896551724135,8.106235431235431,91.20333333333333,3.1491666666666673,-5.666666666666667,15.260899999999998,121.9939393939394
Slovenia,Slovénie,SI,SVN,0.16526666666666665,2.1239999999999997,2.225,49.982029411764714,6.699583333333333,74.41176470588235,0.0,42.870000000000005,191.3090909090909,2391372.0,0.9142857142857144,1.606923076923077,355.55999999999995,3.664137931034483,7.977309811400721,87.05333333333333,3.1125000000000003,-3.408333333333333,21.7411,98.71515151515149
Belgium,Belgique,BE,BEL,0.2576,1.0999999999999999,2.525,78.21632352941177,5.5566666666666675,62.411764705882355,14.8,1614.3300000000002,34.0925,5045574.0,0.4625,1.7955555555555556,3966.2810526315793,2.4851724137931033,11.365664335664334,89.53448275862068,2.9491666666666663,-3.466666666666667,7.6735500000000005,94.21818181818182
Netherlands,Pays-Bas,NL,NLD,0.25,1.116,2.6333333333333333,37.54323529411764,6.666666666666667,50.94117647058823,11.1,6742.4800000000005,15.590000000000002,19285852.0,0.47777777777777775,2.131818181818182,2641.88,3.531034482758621,5.896114642932824,89.55666666666667,2.64,-1.0083333333333333,6.7834,96.0
Poland,Pologne,PL,POL,0.16736,3.7291666666666665,3.466666666666667,21.81379411764706,6.564583333333332,114.05882352941177,3.8,147.36999999999998,12.435681818181818,15233320.0,0.6,2.348888888888889,2674.091578947369,2.4717241379310346,10.176541640178003,88.28275862068965,5.583333333333335,-3.033333333333333,11.3666,84.76363636363635
